School_ID,Low SES ,Medium,High,Capacity
4308,0.9823,0.0159,0.0018,588
4311,0.8934,0.103,0.0036,415
4316,0.583,0.128,0.2889,558
4318,0.3707,0.628,0.0013,814
4319,0.7754,0.2189,0.0056,412
4328,0.0224,0.2573,0.7203,776
4346,0.2139,0.2593,0.5267,761
4357,0.0029,0.2214,0.7757,728
4362,0.0231,0.9157,0.0612,840
4374,0.9842,0.0123,0.0035,309
4409,0.0126,0.5202,0.4672,653
4411,0.0205,0.4487,0.5308,735
4412,0.9691,0.025,0.006,1100
4414,0.8537,0.1443,0.002,571
4416,0.2214,0.7786,0,751
4418,0.0363,0.2664,0.6972,693
4420,0.2254,0.1416,0.633,873
4433,0.0089,0.437,0.5541,1141
4442,0.2298,0.6074,0.1628,1093
4444,0.0687,0.927,0.0043,698
4446,0.0711,0.6944,0.2345,783
4462,0.033,0.5886,0.3784,991
4463,0.0137,0.9384,0.0479,671
4468,0.6424,0.3564,0.0012,900
4474,0.3958,0.5984,0.0058,753
4485,0.5,0.5,0,743
4489,0.9079,0.0907,0.0014,505
4494,0.042,0.9543,0.0037,691
4517,0.9922,0.0045,0.0034,604
4521,0.2556,0.7444,0,797
4546,0.9485,0.0515,0,724
4553,0.9729,0.0271,0,471
4557,0.0239,0.2777,0.6985,681
4558,0.0118,0.042,0.9462,712
4562,0.5843,0.4118,0.0039,780
4566,0.2202,0.6953,0.0845,944
4574,0.981,0.019,0,322
4577,0.9907,0.0074,0.0019,393
4586,0.7423,0.2509,0.0068,880
